name	ku	areacode	address	mfc	beatmania	nostalgia	bomber-girl	mjac	chronoregalia	visited	closed
ジョイランド・ザボン	千代田区	1000006	千代田区有楽町二丁目 9-12	1	0	0	0	1	0	1	1
Hey	千代田区	1010021	千代田区外神田一丁目 10-5 廣瀬本社ビル 1-4F	1	1	1	1	1	0	1	0
セガ秋葉原 1 号館	千代田区	1010021	千代田区外神田一丁目 10-9	0	0	0	0	0	1	0	0
セガ秋葉原 3 号館	千代田区	1010021	千代田区外神田一丁目 11-11 外神田一丁目ビルディング	0	1	1	0	0	0	0	0
東京レジャーランド秋葉原店	千代田区	1010021	千代田区外神田一丁目 9-5	1	1	1	1	1	0	1	0
タイトーステーション秋葉原店	千代田区	1010021	千代田区外神田四丁目 2-2 貴三ビル	1	1	1	1	0	0	1	0
東京レジャーランド秋葉原 2 号店	千代田区	1010021	千代田区外神田四丁目 3-3 ミナミビル 6-7F	1	1	1	1	1	0	1	0
キラキラ ASOBOX 3 号店	千代田区	1010021	千代田区外神田四丁目 4-2 共益外神田第一ビル B1-1F	0	0	1	1	0	0	0	0
エターナルアミューズメントタワー	千代田区	1010021	千代田区外神田四丁目 4-7 MT ビル	1	1	1	1	0	0	1	0
タイトーステーション神田店	千代田区	1010044	千代田区鍛冶町二丁目 1-4 東和ビル	1	0	0	0	1	0	1	0
ゲームコーナー P&P	千代田区	1010052	千代田区神田小川町 3-14 奥村ビル 1F	1	1	0	0	0	0	1	0
アミューズメントパークウィング	港区	1050004	港区新橋二丁目 16-1 ニュー新橋ビル B1-26	1	0	0	0	0	0	0	0
ダイアナネオ	港区	1050004	港区新橋二丁目 16-1 ニュー新橋ビル B1-65	1	0	0	0	0	0	0	0
新宿プレイランドカーニバル	新宿区	1600021	新宿区歌舞伎町一丁目 20-1 ヒューマックスパビリオン 2F	1	1	0	0	1	0	1	0
セガ新宿歌舞伎町店	新宿区	1600021	新宿区歌舞伎町一丁目 21-1 第二東亜会館 2F	0	1	1	0	0	0	1	0
ゲームプラザ GAO 歌舞伎町店	新宿区	1600021	新宿区歌舞伎町一丁目 6-8 アミューズ歌舞伎町ビル 1F	1	0	0	0	0	0	0	0
新宿バッティングセンター	新宿区	1600021	新宿区歌舞伎町二丁目 21-13	1	0	0	0	0	0	0	0
新宿スポーツランド本館	新宿区	1600022	新宿区新宿三丁目 22-12	0	0	0	0	1	1	1	0
タイトーステーション新宿東口店	新宿区	1600022	新宿区新宿三丁目 22-7 指田ビル	1	1	1	1	0	0	1	0
タイトーステーション新宿南口ゲームワールド店	新宿区	1600022	新宿区新宿三丁目 35-8	1	1	1	1	1	0	1	0
クラブセガ新宿西口店	新宿区	1600023	新宿区西新宿一丁目 12-5	0	1	0	0	1	0	1	0
タイトーステーション新宿西口店	新宿区	1600023	新宿区西新宿一丁目 13-4	1	1	1	1	0	0	1	0
ゲームスポット 21	新宿区	1600023	新宿区西新宿一丁目 15-2	1	1	0	0	0	0	1	0
セガ神楽坂店	新宿区	1620825	新宿区神楽坂二丁目 11 第二カグラヒルズ 1F	0	1	1	0	1	1	1	0
タイトーステーション BIGBOX 高田馬場店	新宿区	1690075	新宿区高田馬場一丁目 35-3 BIGBOX 6F	1	1	1	1	1	0	1	0
