tokyosento	id	open	name	address	access	closed-days	laundry	office-hours	visited
item-cnt-56.html	千代田 1	1	バン・ドゥーシュ	千代田区麹町一丁目 5-4	東京メトロ半蔵門線「半蔵門」駅下車、徒歩1分	日曜、祝日/ゆず湯などのイベント湯は営業	0	15:00-24:00/土曜は12:30-23:00	0
item-cnt-53.html	千代田 2	1	梅の湯	千代田区神田神保町二丁目 8-2	都営新宿線「神保町」駅下車、徒歩1分/都営三田線「神保町」駅下車、徒歩1分/東京メトロ半蔵門線「神保町」駅下車、徒歩1分	日曜	0	15:00-24:00/祝日は15:00-23:00	1
item-cnt-54.html	千代田 3	1	稲荷湯	千代田区内神田一丁目 7-3	東京メトロ丸ノ内線「大手町」駅下車、徒歩5分。JR「神田」駅下車、徒歩6分	日曜	0	14:50-24:00/祝日は22:30まで営業	1
item-cnt-55.html	千代田 4	1	於玉湯	千代田区岩本町二丁目 2-14	都営新宿線「岩本町」駅下車、徒歩5分	土曜	0	14:40-22:00	1
item-cnt-57.html	中央 1	1	金春湯	中央区銀座八丁目 7-5	山手線「新橋」駅下車、徒歩4分/東京メトロ銀座線「銀座」駅徒歩5分	日曜、祝日	0	14:00-22:00	0
item-cnt-62.html	中央 4	1	入船湯	中央区入船三丁目 6-14	東京メトロ日比谷線「八丁堀」駅下車、徒歩5分/東京メトロ有楽町線「新富町」駅下車、徒歩7分	木曜	0	15:00-23:00	0
item-cnt-58.html	中央 5	1	湊湯	中央区湊一丁目 6-2	東京メトロ日比谷線「八丁堀」駅下車、徒歩7分	土曜	1	15:00-24:30	0
item-cnt-61.html	中央 7	1	世界湯	中央区日本橋人形町二丁目 17-2	東京メトロ日比谷線「人形町」駅下車、A1番出口から徒歩4分/都営地下鉄 浅草線「人形町」駅下車、A3番出口から徒歩10分/東京メトロ半蔵門線「水天宮前」駅下車、7番出口から徒歩4分	月曜	0	15:00-23:30	1
item-cnt-63.html	中央 8	1	日の出湯	中央区佃一丁目 6-7	東京メトロ有楽町線「月島」駅下車、徒歩4分	無休	0	15:00-24:00	0
item-cnt-65.html	中央 10	1	月島温泉	中央区月島三丁目 4-5 2F	東京メトロ有楽町線「月島」駅下車、徒歩4分	無休	1	14:30-23:40	0
item-cnt-66.html	中央 11	1	勝どき湯	中央区勝どき三丁目 9-7	大江戸線「勝どき」駅下車、徒歩3分	日曜	1	15:30-22:00	0
item-cnt-67.html	中央 12	1	十思湯	中央区日本橋小伝馬町 5-19	東京メトロ日比谷線「小伝馬町」駅下車、徒歩1分	日曜	0	15:00-23:00	0
item-cnt-109.html	港 1	1	南青山 清水湯	港区南青山三丁目 12-3	東京メトロ銀座線・半蔵門線・千代田線「表参道」駅下車、徒歩3分	金曜	1	12:00-24:00/土、日、祝は12:00-23:00	0
item-cnt-108.html	港 3	1	麻布黒美水温泉 竹の湯	港区南麻布一丁目 15-12	東京メトロ南北線「麻布十番」駅下車、１番出口より徒歩5分/都営大江戸線「麻布十番」駅下車、７番出口より徒歩５分	月、金曜日	1	15:30-23:30	0
item-cnt-110.html	港 4	1	ふれあいの湯	港区芝二丁目 2-18	山手線「浜松町」駅下車、徒歩5分	月曜	0	15:00-23:00/日・祝日は14:00-23:00	0
item-cnt-107.html	港 6	0	アクアガーデン三越湯	港区白金五丁目 12-16	山手線「渋谷」駅よりバス。「北里研究所」下車、徒歩0分	毎金曜日、第 3 木曜日/※2019年2月17日-3月中旬まで休業予定	0	15:30-22:00	1
item-cnt-343.html	新宿 1	1	栄湯	新宿区西落合二丁目 6-2	都営大江戸線「落合南長崎」駅下車、徒歩8分	月曜、金曜	1	15:00-24:00	0
item-cnt-341.html	新宿 2	1	福の湯	新宿区下落合四丁目 25-10	西武新宿線「下落合」駅下車、徒歩8分/西武池袋線「椎名町」駅下車、徒歩10分	月曜	1	16:00-24:00	0
item-cnt-342.html	新宿 3	1	ゆ～ザ中井	新宿区中落合一丁目 13-8	西武新宿線「中井」駅下車、徒歩3分	木曜	1	15:00-25:00	0
