path	area	name	address	visited
01-chiyoda/00-chiyoda	千代田区	千代田図書館	千代田区九段南一丁目 2-1 千代田区役所 9, 10 階	1
01-chiyoda/01-yobancho	千代田区	四番町図書館	千代田区四番町 1	1
01-chiyoda/02-hibiya	千代田区	日比谷図書文化館	千代田区日比谷公園 1-4	1
01-chiyoda/03-shohei	千代田区	昌平まちかど図書館	千代田区外神田三丁目 4-7 昌平童夢館内	1
01-chiyoda/04-kanda	千代田区	神田まちかど図書館	千代田区神田司町 2-16 神田さくら館内	1
01-chiyoda/05-parkside-plaza	千代田区	ちよだパークサイドプラザ区民図書室	千代田区神田和泉町 1	1
02-chuo/00-kyobashi	中央区	京橋図書館	中央区築地一丁目 1-1	1
02-chuo/01-nihonbashi	中央区	日本橋図書館	中央区日本橋人形町一丁目 1-17	1
02-chuo/02-tsukishima	中央区	月島図書館	中央区月島四丁目 1-1	1
03-minato/00-minato	港区	みなと図書館	港区芝公園三丁目 2-25	1
03-minato/01-mita	港区	三田図書館	港区芝五丁目 28-4	1
03-minato/02-azabu	港区	麻布図書館	港区六本木五丁目 12-24	1
03-minato/03-akasaka	港区	赤坂図書館	港区南青山一丁目 3-3 青山一丁目タワー 3 階	1
03-minato/04-takanawa	港区	高輪図書館	港区高輪一丁目 16-25 高輪コミュニティーぷらざ 3 階	1
03-minato/05-takanawa-annex	港区	高輪図書館分室	港区高輪一丁目 4-35 高輪子ども中高生プラザ 3 階	-1
03-minato/06-konan	港区	港南図書館	港区港南三丁目 3-17 シティハイツ港南 1 階	1
04-shinjuku/00-central	新宿区	中央図書館	新宿区大久保三丁目 1-1	1
04-shinjuku/01-kids	新宿区	こども図書館	新宿区大久保三丁目 1-1	1
04-shinjuku/02-yotsuya	新宿区	四谷図書館	新宿区内藤町 87	1
04-shinjuku/03-tsurumaki	新宿区	鶴巻図書館	新宿区早稲田鶴巻町 521	1
04-shinjuku/04-nishiochiai	新宿区	西落合図書館	新宿区西落合四丁目 13-17	1
04-shinjuku/05-toyama	新宿区	戸山図書館	新宿区戸山二丁目 11-101 2 階	1
04-shinjuku/06-kitashinjuku	新宿区	北新宿図書館	新宿区北新宿三丁目 20-2	1
04-shinjuku/07-nakamachi	新宿区	中町図書館	新宿区中町 25	1
04-shinjuku/08-tsunohazu	新宿区	角筈図書館	新宿区西新宿四丁目 33-7	1
04-shinjuku/09-okubo	新宿区	大久保図書館	新宿区大久保二丁目 12-7 2 階	1
04-shinjuku/10-shimoochiai	新宿区	下落合図書館	新宿区下落合一丁目 9-8	1
05-bunkyo/00-masago	文京区	真砂中央図書館	文京区本郷四丁目 8-15	1
05-bunkyo/01-hongo	文京区	本郷図書館	文京区千駄木三丁目 2-6	1
05-bunkyo/02-koishikawa	文京区	小石川図書館	文京区小石川五丁目 9-20	1
05-bunkyo/03-honkomagome	文京区	本駒込図書館	文京区本駒込四丁目 35-15	1
05-bunkyo/04-suidobata	文京区	水道端図書館	文京区水道二丁目 16-14	1
05-bunkyo/05-mejirodai	文京区	目白台図書館	文京区関口三丁目 17-9	1
05-bunkyo/06-sengoku	文京区	千石図書館	文京区千石一丁目 25-3	1
05-bunkyo/07-yushima	文京区	湯島図書館	文京区本郷三丁目 10-18 湯島総合センター 4 階	1
05-bunkyo/08-nezu	文京区	根津図書室	文京区根津二丁目 20-7 不忍通りふれあい館 2 階	1
05-bunkyo/09-otsuka	文京区	大塚公園みどりの図書室	文京区大塚四丁目 49-2	1
06-taito/00-central	台東区	中央図書館	台東区西浅草三丁目 25-16 台東区生涯学習センター 1, 2 階	1
06-taito/01-central-branch-asakusabashi	台東区	中央図書館浅草橋分室	台東区浅草橋二丁目 8-7 浅草橋区民館 2, 3 階	1
06-taito/02-central-branch-yanaka	台東区	中央図書館谷中分室	台東区谷中五丁目 6-5 谷中防災コミュニティセンター 3 階	1
06-taito/03-negishi	台東区	根岸図書館	台東区根岸五丁目 18-13 都営根岸五丁目アパート 2 階	1
06-taito/04-ishihama	台東区	石浜図書館	台東区橋場一丁目 35-16	1
06-taito/05-kuramae	台東区	くらまえオレンジ図書館	台東区蔵前四丁目 14-6 環境ふれあい館ひまわり 6 階	1
06-taito/06-sukoyaka	台東区	すこやかとしょしつ	台東区東上野四丁目 22-8 台東保健所 3 階	-1
06-taito/07-higashiasakusa	台東区	東浅草なかよし図書館	台東区東浅草二丁目 27-19 台東区立東浅草小学校内	-1
07-sumida/00-hikihune	墨田区	ひきふね図書館	墨田区京島一丁目 36-5	1
07-sumida/01-midori	墨田区	緑図書館	墨田区緑二丁目 24-5	1
07-sumida/02-tachibana	墨田区	立花図書館	墨田区立花六丁目 8-1 101	1
